"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
26;152;17;0;0;0;905;919;15;2.77258872223978;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;18;0;0;0;921;921;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;19;0;0;0;923;927;5;1.79175946922805;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;20;0;0;0;933;935;3;1.38629436111989;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;21;0;0;0;959;977;19;2.99573227355399;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;22;0;0;0;981;1000;20;3.04452243772342;6;0.15;1;36;216;0.0225;0.003375;0.9
27;152;1;0;0;0;1;61;61;4.12713438504509;6;0.2;1;36;216;0.04;0.008;1.2
27;152;2;0;0;0;63;63;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;152;3;0;0;0;65;65;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;152;4;0;0;0;69;91;23;3.17805383034795;6;0.2;1;36;216;0.04;0.008;1.2
27;152;5;0;0;0;195;197;3;1.38629436111989;6;0.2;1;36;216;0.04;0.008;1.2
27;152;6;0;0;0;203;207;5;1.79175946922805;6;0.2;1;36;216;0.04;0.008;1.2
27;152;7;0;0;0;213;215;3;1.38629436111989;6;0.2;1;36;216;0.04;0.008;1.2
27;152;8;0;0;0;227;231;5;1.79175946922805;6;0.2;1;36;216;0.04;0.008;1.2
27;152;9;0;0;0;235;235;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;152;10;0;0;0;237;237;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;152;11;0;0;0;241;241;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;152;12;0;0;0;243;243;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;152;13;0;0;0;247;261;15;2.77258872223978;6;0.2;1;36;216;0.04;0.008;1.2
