"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected";"len_reduction"
31;2;133;499;367;12;42;31;2;0.1;0;0;1;1
31;2;133;499;367;12;42;31;2;0.1;0.5;0;1;0.5
31;2;133;499;367;12;42;31;2;0.1;1;0;1;0
31;3;501;617;117;42;52;11;2;0.1;0;0;1;1
31;3;501;617;117;42;52;11;2;0.1;0.5;0;1;0.5
31;3;501;617;117;42;52;11;2;0.1;1;0;1;0
32;1;1;455;455;1;38;38;2;0.1;0;0;1;1
32;1;1;455;455;1;38;38;2;0.1;0.5;0;1;0.5
32;1;1;455;455;1;38;38;2;0.1;1;0;1;0
32;1;703;1000;298;59;84;26;2;0.1;0;0;0;1
32;1;703;1000;298;59;84;26;2;0.1;0.5;0;0;0.5
32;1;703;1000;298;59;84;26;2;0.1;1;0;0;0
32;2;457;639;183;39;54;16;2;0.1;0;0;1;1
32;2;457;639;183;39;54;16;2;0.1;0.5;0;1;0.5
32;2;457;639;183;39;54;16;2;0.1;1;0;1;0
32;3;641;701;61;54;59;6;2;0.1;0;0;1;1
32;3;641;701;61;54;59;6;2;0.1;0.5;0;1;0.5
32;3;641;701;61;54;59;6;2;0.1;1;0;1;0
33;1;1;155;155;1;13;13;2;0.1;0;0;1;1
33;1;1;155;155;1;13;13;2;0.1;0.5;0;1;0.5
33;1;1;155;155;1;13;13;2;0.1;1;0;1;0
33;1;157;1000;844;14;84;71;2;0.1;0;0;0;1
33;1;157;1000;844;14;84;71;2;0.1;0.5;0;0;0.5
33;1;157;1000;844;14;84;71;2;0.1;1;0;0;0
34;1;1;88;88;1;8;8;2;0.1;0;0;1;1
34;1;1;88;88;1;8;8;2;0.1;0.5;0;1;0.5
34;1;1;88;88;1;8;8;2;0.1;1;0;1;0
34;1;869;1000;132;73;84;12;2;0.1;0;0;0;1
34;1;869;1000;132;73;84;12;2;0.1;0.5;0;0;0.5
34;1;869;1000;132;73;84;12;2;0.1;1;0;0;0
34;2;90;867;778;8;73;66;2;0.1;0;0;1;1
34;2;90;867;778;8;73;66;2;0.1;0.5;0;1;0.5
34;2;90;867;778;8;73;66;2;0.1;1;0;1;0
35;1;1;133;133;1;12;12;2;0.1;0;0;1;1
35;1;1;133;133;1;12;12;2;0.1;0.5;0;1;0.5
35;1;1;133;133;1;12;12;2;0.1;1;0;1;0
35;1;962;1000;39;81;84;4;2;0.1;0;0;0;1
35;1;962;1000;39;81;84;4;2;0.1;0.5;0;0;0.5
35;1;962;1000;39;81;84;4;2;0.1;1;0;0;0
35;2;135;777;643;12;65;54;2;0.1;0;0;1;1
35;2;135;777;643;12;65;54;2;0.1;0.5;0;1;0.5
