"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
8;1;1;84;84;1;7;7;2;0.15;1;1;1
8;2;86;109;24;8;10;3;2;0.15;1;1;1
8;3;111;289;179;10;25;16;2;0.15;1;1;1
8;4;291;904;614;25;76;52;2;0.15;1;1;1
9;1;1;394;394;1;33;33;2;0.15;1;1;1
9;2;396;474;79;33;40;8;2;0.15;1;1;1
9;3;476;685;210;40;58;19;2;0.15;1;1;1
9;4;687;728;42;58;61;4;2;0.15;1;1;1
9;5;730;886;157;61;74;14;2;0.15;1;1;1
9;6;888;970;83;74;81;8;2;0.15;1;1;1
10;1;1;12;12;1;1;1;2;0.15;1;1;1
10;2;14;220;207;2;19;18;2;0.15;1;1;1
10;3;222;347;126;19;29;11;2;0.15;1;1;1
10;4;349;366;18;30;31;2;2;0.15;1;1;1
10;5;368;382;15;31;32;2;2;0.15;1;1;1
10;6;384;547;164;32;46;15;2;0.15;1;1;1
10;7;549;626;78;46;53;8;2;0.15;1;1;1
10;8;628;743;116;53;62;10;2;0.15;1;1;1
11;1;1;228;228;1;19;19;2;0.15;1;1;1
11;2;230;338;109;20;29;10;2;0.15;1;1;1
11;3;340;394;55;29;33;5;2;0.15;1;1;1
11;4;396;420;25;33;35;3;2;0.15;1;1;1
11;5;422;523;102;36;44;9;2;0.15;1;1;1
11;6;525;788;264;44;66;23;2;0.15;1;1;1
11;7;790;948;159;66;79;14;2;0.15;1;1;1
11;8;950;957;8;80;80;1;2;0.15;1;1;1
12;1;1;465;465;1;39;39;2;0.15;1;1;1
12;2;467;615;149;39;52;14;2;0.15;1;1;1
12;3;617;760;144;52;64;13;2;0.15;1;1;1
12;4;762;793;32;64;67;4;2;0.15;1;1;1
12;5;795;977;183;67;82;16;2;0.15;1;1;1
13;1;1;320;320;1;27;27;2;0.15;1;1;1
13;2;322;339;18;27;29;3;2;0.15;1;1;1
13;3;341;457;117;29;39;11;2;0.15;1;1;1
13;4;459;506;48;39;43;5;2;0.15;1;1;1
13;5;508;665;158;43;56;14;2;0.15;1;1;1
13;6;667;914;248;56;77;22;2;0.15;1;1;1
13;7;916;949;34;77;80;4;2;0.15;1;1;1
14;1;1;258;258;1;22;22;2;0.15;1;1;1
14;2;260;427;168;22;36;15;2;0.15;1;1;1
14;3;429;608;180;36;51;16;2;0.15;1;1;1
14;4;610;708;99;51;59;9;2;0.15;1;1;1
14;5;710;763;54;60;64;5;2;0.15;1;1;1
14;6;765;864;100;64;72;9;2;0.15;1;1;1
15;1;1;35;35;1;3;3;2;0.15;1;1;1
15;2;37;529;493;4;45;42;2;0.15;1;1;1
15;3;531;568;38;45;48;4;2;0.15;1;1;1
15;4;570;667;98;48;56;9;2;0.15;1;1;1
15;5;669;809;141;56;68;13;2;0.15;1;1;1
15;6;811;904;94;68;76;9;2;0.15;1;1;1
15;7;906;960;55;76;80;5;2;0.15;1;1;1
15;8;962;976;15;81;82;2;2;0.15;1;1;1
16;1;1;31;31;1;3;3;2;0.15;1;1;1
16;2;33;188;156;3;16;14;2;0.15;1;1;1
16;3;190;303;114;16;26;11;2;0.15;1;1;1
16;4;305;347;43;26;29;4;2;0.15;1;1;1
16;5;349;882;534;30;74;45;2;0.15;1;1;1
17;1;1;11;11;1;1;1;2;0.15;1;1;1
17;2;13;69;57;2;6;5;2;0.15;1;1;1
17;3;71;94;24;6;8;3;2;0.15;1;1;1
17;4;96;248;153;8;21;14;2;0.15;1;1;1
17;5;250;372;123;21;31;11;2;0.15;1;1;1
17;6;374;600;227;32;50;19;2;0.15;1;1;1
17;7;602;685;84;51;58;8;2;0.15;1;1;1
17;8;687;735;49;58;62;5;2;0.15;1;1;1
18;1;1;65;65;1;6;6;2;0.15;1;1;1
18;2;67;191;125;6;16;11;2;0.15;1;1;1
18;3;193;703;511;17;59;43;2;0.15;1;1;1
18;4;705;713;9;59;60;2;2;0.15;1;1;1
18;5;715;783;69;60;66;7;2;0.15;1;1;1
19;1;1;816;816;1;68;68;2;0.15;1;1;1
20;1;1;117;117;1;10;10;2;0.15;1;1;1
20;2;119;345;227;10;29;20;2;0.15;1;1;1
20;3;347;621;275;29;52;24;2;0.15;1;1;1
20;4;623;846;224;52;71;20;2;0.15;1;1;1
20;5;848;883;36;71;74;4;2;0.15;1;1;1
20;6;885;952;68;74;80;7;2;0.15;1;1;1
20;7;954;1000;47;80;84;5;2;0.15;1;1;1
21;1;1;325;325;1;28;28;2;0.15;1;1;1
21;2;327;452;126;28;38;11;2;0.15;1;1;1
21;3;454;589;136;38;50;13;2;0.15;1;1;1
21;4;591;717;127;50;60;11;2;0.15;1;1;1
21;5;719;816;98;60;68;9;2;0.15;1;1;1
21;6;818;833;16;69;70;2;2;0.15;1;1;1
21;7;835;983;149;70;82;13;2;0.15;1;1;1
21;8;985;990;6;83;83;1;2;0.15;1;1;1
23;1;1;11;11;1;1;1;2;0.15;1;1;1
23;2;13;443;431;2;37;36;2;0.15;1;1;1
23;3;445;480;36;38;40;3;2;0.15;1;1;1
23;4;482;580;99;41;49;9;2;0.15;1;1;1
23;5;582;829;248;49;70;22;2;0.15;1;1;1
23;6;831;928;98;70;78;9;2;0.15;1;1;1
23;7;930;945;16;78;79;2;2;0.15;1;1;1
25;1;1;173;173;1;15;15;2;0.15;1;1;1
25;2;175;275;101;15;23;9;2;0.15;1;1;1
25;3;277;341;65;24;29;6;2;0.15;1;1;1
25;4;343;368;26;29;31;3;2;0.15;1;1;1
25;5;370;457;88;31;39;9;2;0.15;1;1;1
25;6;459;617;159;39;52;14;2;0.15;1;1;1
25;7;619;903;285;52;76;25;2;0.15;1;1;1
25;8;905;957;53;76;80;5;2;0.15;1;1;1
26;1;1;369;369;1;31;31;2;0.15;1;1;1
27;1;1;224;224;1;19;19;2;0.15;1;1;1
27;2;226;226;1;19;19;1;2;0.15;1;1;1
27;3;228;256;29;19;22;4;2;0.15;1;1;1
27;4;258;384;127;22;32;11;2;0.15;1;1;1
27;5;386;396;11;33;33;1;2;0.15;1;1;1
27;6;398;586;189;34;49;16;2;0.15;1;1;1
27;7;588;732;145;49;61;13;2;0.15;1;1;1
27;8;734;991;258;62;83;22;2;0.15;1;1;1
28;1;1;78;78;1;7;7;2;0.15;1;1;1
28;2;80;133;54;7;12;6;2;0.15;1;1;1
28;3;135;182;48;12;16;5;2;0.15;1;1;1
28;4;184;488;305;16;41;26;2;0.15;1;1;1
28;5;490;546;57;41;46;6;2;0.15;1;1;1
28;6;548;901;354;46;76;31;2;0.15;1;1;1
28;7;903;936;34;76;78;3;2;0.15;1;1;1
28;8;938;968;31;79;81;3;2;0.15;1;1;1
28;9;970;999;30;81;84;4;2;0.15;1;1;1
29;1;1;384;384;1;32;32;2;0.15;1;1;1
29;2;386;554;169;33;47;15;2;0.15;1;1;1
29;3;556;558;3;47;47;1;2;0.15;1;1;1
29;4;560;579;20;47;49;3;2;0.15;1;1;1
29;5;581;740;160;49;62;14;2;0.15;1;1;1
29;6;742;877;136;62;74;13;2;0.15;1;1;1
29;7;879;922;44;74;77;4;2;0.15;1;1;1
30;1;1;72;72;1;6;6;2;0.15;1;1;1
30;2;74;515;442;7;43;37;2;0.15;1;1;1
30;3;517;624;108;44;52;9;2;0.15;1;1;1
30;4;626;712;87;53;60;8;2;0.15;1;1;1
30;5;714;793;80;60;67;8;2;0.15;1;1;1
30;6;795;833;39;67;70;4;2;0.15;1;1;1
30;7;835;949;115;70;80;11;2;0.15;1;1;1
30;8;951;999;49;80;84;5;2;0.15;1;1;1
31;1;1;35;35;1;3;3;2;0.15;1;1;1
31;2;37;488;452;4;41;38;2;0.15;1;1;1
31;3;490;513;24;41;43;3;2;0.15;1;1;1
31;4;515;581;67;43;49;7;2;0.15;1;1;1
31;5;583;597;15;49;50;2;2;0.15;1;1;1
31;6;599;885;287;50;74;25;2;0.15;1;1;1
31;7;887;983;97;74;82;9;2;0.15;1;1;1
32;1;1;912;912;1;76;76;2;0.15;1;1;1
32;2;914;981;68;77;82;6;2;0.15;1;1;1
